Category;product;Date;Price per unit;Count;promocode
Напитки;Напитки для здоровья;13.06.2022;102.0;9.0;На13ьв60
Яйца, мясо и рыба;Яйца;23.01.2022;159.0;14.0;Яй23цй10
Напитки;Безалкогольные напитки;23.05.2022;117.0;10.0;Бе23кт50
Фрукты и овощи;Органические овощи;22.03.2022;170.0;15.0;Ор22що30
Фрукты и овощи;Свежие фрукты;16.01.2022;219.0;19.0;Св16тк10
Яйца, мясо и рыба;Курица;01.02.2022;256.0;22.0;Ку01ци20
Напитки;Напитки для здоровья;25.06.2022;83.0;7.0;На25ьв60
Напитки;Прохладительные напитки;10.04.2022;234.0;20.0;Пр10кт40
Закуски;Печенье;05.03.2022;128.0;11.0;Пе05ьн30
Закуски;Печенье;11.06.2022;289.0;25.0;Пе11ьн60
Хлебобулочные изделия;Печенье;18.06.2022;208.0;18.0;Пе18ьн60
Яйца, мясо и рыба;Яйца;29.03.2022;178.0;15.0;Яй29цй30
Фрукты и овощи;Органические овощи;01.02.2022;177.0;15.0;Ор01що20
Закуски;Лапша;17.05.2022;186.0;16.0;Ла17шп50
Закуски;Лапша;31.01.2022;91.0;8.0;Ла31шп10
Хлебобулочные изделия;Торты;12.02.2022;158.0;14.0;То12тр20
Напитки;Безалкогольные напитки;18.05.2022;113.0;10.0;Бе18кт50
Напитки;Прохладительные напитки;28.03.2022;289.0;25.0;Пр28кт30
Хлебобулочные изделия;Торты;22.03.2022;178.0;15.0;То22тр30
Фрукты и овощи;Свежие овощи;23.01.2022;79.0;7.0;Св23що10
Фрукты и овощи;Органические фрукты;04.02.2022;95.0;8.0;Ор04тк20
Пищевые злаки;Мука;05.01.2022;294.0;25.0;Му05ку10
Яйца, мясо и рыба;Рыба;27.04.2022;148.0;13.0;Ры27бы40
Пищевые злаки;Крупа;21.01.2022;203.0;17.0;Кр21пу10
Яйца, мясо и рыба;Баранина;30.03.2022;165.0;14.0;Ба30ни30
Напитки;Напитки для здоровья;27.04.2022;266.0;23.0;На27ьв40
Масло;Подсолнечное масло;26.02.2022;179.0;15.0;По26лс20
Закуски;Лапша;09.06.2022;89.0;8.0;Ла09шп60
Яйца, мясо и рыба;Рыба;13.05.2022;116.0;10.0;Ры13бы50
Фрукты и овощи;Свежие фрукты;29.04.2022;218.0;19.0;Св29тк40
Яйца, мясо и рыба;Яйца;18.03.2022;76.0;7.0;Яй18цй30
Яйца, мясо и рыба;Баранина;04.06.2022;228.0;19.0;Ба04ни60
Злаки;Мука;26.04.2022;171.0;15.0;Му26ку40
Фрукты и овощи;Свежие овощи;10.06.2022;145.0;13.0;Св10що60
Пищевые злаки;Мука;27.04.2022;162.0;14.0;Му27ку40
Масло;Подсолнечное масло;07.01.2022;154.0;13.0;По07лс10
Яйца, мясо и рыба;Баранина;15.01.2022;125.0;11.0;Ба15ни10
Закуски;Лапша;12.06.2022;309.0;26.0;Ла12шп60
Закуски;Печенье;23.04.2022;91.0;8.0;Пе23ьн40
Фрукты и овощи;Органические овощи;09.03.2022;297.0;25.0;Ор09що30
Напитки;Прохладительные напитки;27.03.2022;246.0;21.0;Пр27кт30
Напитки;Безалкогольные напитки;15.05.2022;187.0;16.0;Бе15кт50
Фрукты и овощи;Органические фрукты;17.03.2022;157.0;14.0;Ор17тк30
Закуски;Лапша;10.06.2022;170.0;15.0;Ла10шп60
Закуски;Печенье;30.03.2022;90.0;8.0;Пе30ьн30
Фрукты и овощи;Органические фрукты;10.03.2022;288.0;24.0;Ор10тк30
Напитки;Напитки для здоровья;14.02.2022;254.0;22.0;На14ьв20
Пищевые злаки;Мука;02.01.2022;218.0;19.0;Му02ку10
Масло;Специи;05.03.2022;124.0;11.0;Сп05иц30
Напитки;Прохладительные напитки;28.03.2022;295.0;25.0;Пр28кт30
Фрукты и овощи;Органические фрукты;28.04.2022;131.0;11.0;Ор28тк40
Масло;Специи;10.06.2022;267.0;23.0;Сп10иц60
Пищевые злаки;Рис;13.06.2022;220.0;19.0;Ри13иР60
Яйца, мясо и рыба;Яйца;31.03.2022;208.0;18.0;Яй31цй30
Выпечка;Хлеб и булочки;25.05.2022;264.0;22.0;Хл25кч50
Пищевые злаки;Крупа;08.03.2022;235.0;20.0;Кр08пу30
Яйца, мясо и рыба;Курица;13.06.2022;97.0;9.0;Ку13ци60
Напитки;Напитки для здоровья;01.06.2022;156.0;13.0;На01ьв60
Пищевые злаки;Мука;03.05.2022;266.0;23.0;Му03ку50
Фрукты и овощи;Свежие фрукты;11.04.2022;283.0;24.0;Св11тк40
Закуски;Шоколадные конфеты;31.01.2022;161.0;14.0;Шо31те10
Яйца, мясо и рыба;Рыба;30.04.2022;154.0;13.0;Ры30бы40
Пищевые злаки;Мука;28.06.2022;232.0;20.0;Му28ку60
Фрукты и овощи;Свежие фрукты;20.06.2022;69.0;6.0;Св20тк60
Закуски;Шоколадные конфеты;27.01.2022;288.0;24.0;Шо27те10
Масло;Специи;06.05.2022;185.0;16.0;Сп06иц50
Хлебобулочные изделия;Торты;10.03.2022;265.0;23.0;То10тр30
Напитки;Прохладительные напитки;03.04.2022;191.0;16.0;Пр03кт40
Закуски;Шоколадные конфеты;11.04.2022;71.0;6.0;Шо11те40
Фрукты и овощи;Свежие фрукты;04.02.2022;122.0;11.0;Св04тк20
Пищевые злаки;Крупа;07.05.2022;288.0;24.0;Кр07пу50
Масло;Подсолнечное масло;14.03.2022;197.0;17.0;По14лс30
Напитки;Напитки для здоровья;09.03.2022;68.0;6.0;На09ьв30
Закуски;Печенье;14.06.2022;67.0;6.0;Пе14ьн60
Яйца, мясо и рыба;Яйца;15.01.2022;70.0;6.0;Яй15цй10
Фрукты и овощи;Свежие фрукты;04.05.2022;148.0;13.0;Св04тк50
Пищевые злаки;Крупы и бобовые;12.05.2022;186.0;16.0;Кр12ыв50
Хлебобулочные изделия;Хлеб и булочки;03.03.2022;278.0;24.0;Хл03кч30
Масло;Топленое масло;17.06.2022;270.0;23.0;То17лс60
Фрукты и овощи;Свежие овощи;24.04.2022;145.0;13.0;Св24що40
Закуски;Лапша;13.04.2022;303.0;26.0;Ла13шп40
Закуски;Шоколадные конфеты;11.06.2022;164.0;14.0;Шо11те60
Фрукты и овощи;Органические фрукты;02.04.2022;116.0;10.0;Ор02тк40
Фрукты и овощи;Органические овощи;01.04.2022;123.0;11.0;Ор01що40
Пищевые злаки;Рис;28.06.2022;113.0;10.0;Ри28иР60
Яйца, мясо и рыба;Курица;04.02.2022;155.0;13.0;Ку04ци20
Фрукты и овощи;Органические овощи;09.04.2022;156.0;13.0;Ор09що40
Хлебобулочные изделия;Торты;20.06.2022;82.0;7.0;То20тр60
Яйца, мясо и рыба;Баранина;25.04.2022;295.0;25.0;Ба25ни40
Напитки;Безалкогольные напитки;20.02.2022;181.0;16.0;Бе20кт20
Выпечка;Хлеб и булочки;20.03.2022;122.0;11.0;Хл20кч30
Фрукты и овощи;Органические овощи;05.01.2022;112.0;10.0;Ор05що10
Яйца, мясо и рыба;Баранина;06.02.2022;294.0;25.0;Ба06ни20
Масло;Специи;16.06.2022;162.0;14.0;Сп16иц60
Пищевые злаки;Рис;06.04.2022;183.0;16.0;Ри06иР40
Пищевые злаки;Мука;31.05.2022;226.0;19.0;Му31ку50
Закуски;Шоколадные конфеты;21.05.2022;158.0;14.0;Шо21те50
Напитки;Прохладительные напитки;17.05.2022;264.0;22.0;Пр17кт50
Яйца, мясо и рыба;Рыба;23.05.2022;80.0;7.0;Ры23бы50
Хлебобулочные изделия;Торты;07.06.2022;208.0;18.0;То07тр60
Напитки;Напитки для здоровья;12.06.2022;297.0;25.0;На12ьв60
Фрукты и овощи;Органические фрукты;12.02.2022;179.0;15.0;Ор12тк20
Масло;Специи;22.03.2022;235.0;20.0;Сп22иц30
Яйца, мясо и рыба;Яйца;31.05.2022;109.0;10.0;Яй31цй50
Закуски;Лапша;10.02.2022;138.0;12.0;Ла10шп20
Яйца, мясо и рыба;Баранина;16.02.2022;136.0;12.0;Ба16ни20
Хлебобулочные изделия;Печенье;24.05.2022;109.0;10.0;Пе24ьн50
Масло;Подсолнечное масло;26.05.2022;311.0;26.0;По26лс50
Пищевые злаки;Мука;10.05.2022;167.0;14.0;Му10ку50
Яйца, мясо и рыба;Рыба;16.05.2022;96.0;8.0;Ры16бы50
Яйца, мясо и рыба;Баранина;07.03.2022;301.0;26.0;Ба07ни30
Масло;Топленое масло;06.03.2022;194.0;17.0;То06лс30
Пищевые злаки;Органические основные продукты питания;09.05.2022;196.0;17.0;Ор09ин50
Фрукты и овощи;Свежие овощи;30.01.2022;141.0;12.0;Св30що10
Напитки;Напитки для здоровья;27.03.2022;96.0;8.0;На27ьв30
Яйца, мясо и рыба;Рыба;19.05.2022;249.0;21.0;Ры19бы50
Пищевые злаки;Рис;09.04.2022;286.0;24.0;Ри09иР40
Закуски;Шоколадные конфеты;22.01.2022;127.0;11.0;Шо22те10
Закуски;Печенье;28.05.2022;107.0;9.0;Пе28ьн50
Пищевые злаки;Органические продукты питания;15.02.2022;155.0;13.0;Ор15ин20
Закуски;Лапша;25.02.2022;280.0;24.0;Ла25шп20
Фрукты и овощи;Свежие овощи;17.02.2022;274.0;23.0;Св17що20
Закуски;Печенье;24.04.2022;140.0;12.0;Пе24ьн40
Масло;Топленое масло;24.03.2022;222.0;19.0;То24лс30
Напитки;Прохладительные напитки;07.04.2022;296.0;25.0;Пр07кт40
Пищевые злаки;Бобовые и макаронные культуры;27.03.2022;186.0;16.0;Бо27ру30
Напитки;Безалкогольные напитки;09.04.2022;90.0;8.0;Бе09кт40
Яйца, мясо и рыба;Рыба;14.04.2022;93.0;8.0;Ры14бы40
Закуски;Шоколадные конфеты;03.06.2022;126.0;11.0;Шо03те60
Закуски;Печенье;07.01.2022;190.0;16.0;Пе07ьн10
Зерновые продукты;Мука;26.06.2022;181.0;16.0;Му26ку60
Напитки;Напитки для здоровья;04.01.2022;212.0;11.0;На04ьв10
Закуски;Шоколадные конфеты;27.05.2022;253.0;13.0;Шо27те50
Яйца, мясо и рыба;Баранина;04.04.2022;293.0;15.0;Ба04ни40
Масло;Специи;17.04.2022;89.0;5.0;Сп17иц40
Яйца, мясо и рыба;Курица;25.04.2022;152.0;8.0;Ку25ци40
Пищевые злаки;Крупа;02.02.2022;69.0;4.0;Кр02пу20
Напитки;Напитки для здоровья;02.02.2022;177.0;9.0;На02ьв20
Пищевые злаки;Крупа;10.02.2022;99.0;5.0;Кр10пу20
Фрукты и овощи;Органические овощи;27.02.2022;310.0;16.0;Ор27що20
Фрукты и овощи;Свежие овощи;29.06.2022;219.0;11.0;Св29що60
Фрукты и овощи;Органические фрукты;10.02.2022;247.0;13.0;Ор10тк20
Масло;Специи;19.02.2022;254.0;13.0;Сп19иц20
Закуски;Лапша;03.04.2022;127.0;7.0;Ла03шп40
Фрукты и овощи;Органические фрукты;10.06.2022;87.0;5.0;Ор10тк60
Пищевые злаки;Мука;26.03.2022;166.0;9.0;Му26ку30
Закуски;Печенье;23.05.2022;201.0;11.0;Пе23ьн50
Напитки;Напитки для здоровья;15.06.2022;215.0;11.0;На15ьв60
Масло;Топленое масло;30.05.2022;273.0;14.0;То30лс50
Пищевые злаки;Органические основные продукты питания;17.02.2022;73.0;4.0;Ор17ин20
Пищевые злаки;Крупа;19.01.2022;98.0;5.0;Кр19пу10
Снеки;Лапша;11.03.2022;174.0;9.0;Ла11шп30
Хлебобулочные изделия;Торты;28.06.2022;283.0;15.0;То28тр60
Напитки;Прохладительные напитки;24.04.2022;102.0;6.0;Пр24кт40
Фрукты и овощи;Органические фрукты;18.02.2022;252.0;13.0;Ор18тк20
Напитки;Прохладительные напитки;25.06.2022;180.0;9.0;Пр25кт60
Фрукты и овощи;Органические фрукты;26.06.2022;262.0;14.0;Ор26тк60
Фрукты и овощи;Свежие овощи;08.04.2022;269.0;14.0;Св08що40
Напитки;Напитки для здоровья;27.05.2022;247.0;13.0;На27ьв50
Масло;Подсолнечное масло;30.03.2022;258.0;13.0;По30лс30
Яйца, мясо и рыба;Яйца;27.04.2022;147.0;8.0;Яй27цй40
Масло;Топленое масло;16.06.2022;126.0;7.0;То16лс60
Хлебобулочные изделия;Хлеб и булочки;12.01.2022;177.0;9.0;Хл12кч10
Пищевые злаки;Органические продукты питания;05.05.2022;115.0;6.0;Ор05ин50
Яйца, мясо и рыба;Баранина;12.01.2022;169.0;9.0;Ба12ни10
